name;suspiciousness_value;ranking
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset():109;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset():110;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):119;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):91;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):94;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):97;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):100;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):120;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):121;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):122;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):123;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):124;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#DefaultTableXYDataset(boolean):125;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#getSeriesCount():217;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#getDomainBounds(boolean):589;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#getDomainBounds(boolean):590;1.0;1
org.jfree.data.xy$DefaultTableXYDataset#getDomainBounds(boolean):593;1.0;1
org.jfree.data.time$TimeSeriesCollection#getSeriesCount():243;1.0;1
org.jfree.data.time$TimeSeriesCollection#getSeries(int):271;1.0;1
org.jfree.data.time$TimeSeriesCollection#getSeries(int):275;1.0;1
org.jfree.data.time$TimeSeriesCollection#getItemCount(int):382;1.0;1
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1749;1.0;1
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4479;1.0;1
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4488;1.0;1
org.jfree.data.xy$AbstractXYZDataset#AbstractXYZDataset():48;1.0;1
org.jfree.data.time$TimeSeries#getItemCount():253;1.0;1
