name;suspiciousness_value;ranking
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4479;1.0;1
org.jfree.data.xy$XYSeriesCollection#setIntervalWidth(double):621;1.0;1
org.jfree.data.xy$XYSeriesCollection#setIntervalWidth(double):624;1.0;1
org.jfree.data.xy$XYSeriesCollection#setIntervalWidth(double):625;1.0;1
org.jfree.data.xy$XYSeriesCollection#setIntervalWidth(double):626;1.0;1
org.jfree.data.xy$IntervalXYDelegate#setFixedIntervalWidth(double):225;1.0;1
org.jfree.data.xy$IntervalXYDelegate#setFixedIntervalWidth(double):228;1.0;1
org.jfree.data.xy$IntervalXYDelegate#setFixedIntervalWidth(double):229;1.0;1
org.jfree.data.xy$IntervalXYDelegate#setFixedIntervalWidth(double):230;1.0;1
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset):647;1.0;1
org.jfree.data.time$Day#Day(org.jfree.data.time.SerialDate):133;1.0;1
org.jfree.data.time$Day#Day(org.jfree.data.time.SerialDate):134;1.0;1
org.jfree.data.time$Day#Day(org.jfree.data.time.SerialDate):137;1.0;1
org.jfree.data.time$Day#Day(org.jfree.data.time.SerialDate):138;1.0;1
org.jfree.data.time$Day#Day(org.jfree.data.time.SerialDate):139;1.0;1
org.jfree.data.time$Day#next():288;1.0;1
org.jfree.data.time$Day#next():289;1.0;1
org.jfree.data.time$Day#next():290;1.0;1
org.jfree.data.time$Day#next():291;1.0;1
org.jfree.data.time$SerialDate#createInstance(int):804;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):146;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):148;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):149;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):158;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):160;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):161;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):162;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):164;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):166;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):167;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):178;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):180;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):183;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):184;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):189;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):190;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):191;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):192;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):193;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):195;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):198;1.0;1
org.jfree.data.time$SpreadsheetDate#SpreadsheetDate(int):201;1.0;1
org.jfree.data.time$TimeSeriesCollection#TimeSeriesCollection():144;1.0;1
org.jfree.data.time$TimeSeriesCollection#TimeSeriesCollection():145;1.0;1
org.jfree.data.time$TimeSeriesCollection#addSeries(org.jfree.data.time.TimeSeries):319;1.0;1
org.jfree.data.time$TimeSeriesCollection#addSeries(org.jfree.data.time.TimeSeries):322;1.0;1
org.jfree.data.time$TimeSeriesCollection#addSeries(org.jfree.data.time.TimeSeries):323;1.0;1
org.jfree.data.time$TimeSeriesCollection#addSeries(org.jfree.data.time.TimeSeries):324;1.0;1
org.jfree.data.time$TimeSeriesCollection#addSeries(org.jfree.data.time.TimeSeries):325;1.0;1
org.jfree.chart$ChartFactory#createScatterPlot(java.lang.String,java.lang.String,java.lang.String,org.jfree.data.xy.XYDataset,org.jfree.chart.plot.PlotOrientation,boolean,boolean,boolean):1482;1.0;1
org.jfree.chart$ChartFactory#createScatterPlot(java.lang.String,java.lang.String,java.lang.String,org.jfree.data.xy.XYDataset,org.jfree.chart.plot.PlotOrientation,boolean,boolean,boolean):1485;1.0;1
org.jfree.chart$ChartFactory#createScatterPlot(java.lang.String,java.lang.String,java.lang.String,org.jfree.data.xy.XYDataset,org.jfree.chart.plot.PlotOrientation,boolean,boolean,boolean):1486;1.0;1
org.jfree.chart$ChartFactory#createScatterPlot(java.lang.String,java.lang.String,java.lang.String,org.jfree.data.xy.XYDataset,org.jfree.chart.plot.PlotOrientation,boolean,boolean,boolean):1487;1.0;1
