name;suspiciousness_value;ranking
org.jfree.data.time$TimeSeriesCollection#TimeSeriesCollection():144;1.0;1
org.jfree.data.time$TimeSeriesCollection#TimeSeriesCollection():145;1.0;1
org.jfree.data.time$TimeSeriesCollection#TimeSeriesCollection(org.jfree.data.time.TimeSeries):165;1.0;1
org.jfree.data.time$TimeSeriesCollection#TimeSeriesCollection(org.jfree.data.time.TimeSeries):166;1.0;1
org.jfree.data.time$TimeSeriesCollection#TimeSeriesCollection(org.jfree.data.time.TimeSeries,java.util.TimeZone):186;1.0;1
org.jfree.data.time$TimeSeriesCollection#TimeSeriesCollection(org.jfree.data.time.TimeSeries,java.util.TimeZone):187;1.0;1
org.jfree.data.time$TimeSeriesCollection#getDomainBounds(boolean):636;1.0;1
org.jfree.data.time$TimeSeriesCollection#getDomainBounds(boolean):637;1.0;1
org.jfree.data.time$TimeSeriesCollection#getDomainBounds(boolean):638;1.0;1
org.jfree.data.time$TimeSeriesCollection#getDomainBounds(boolean):639;1.0;1
org.jfree.data.time$TimeSeriesCollection#getDomainBounds(boolean):640;1.0;1
org.jfree.data.time$TimeSeriesCollection#getDomainBounds(boolean):641;1.0;1
org.jfree.data.time$TimeSeriesCollection#getDomainBounds(boolean):655;1.0;1
org.jfree.data.time$TimeSeriesCollection#getDomainBounds(boolean):656;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.lang.Object[][][]):87;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.lang.Object[][][]):88;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.util.List,java.lang.Object[][][]):128;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.util.List,java.lang.Object[][][]):129;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.util.List,java.lang.Object[][][]):132;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.util.List,java.lang.Object[][][]):136;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.util.List,java.lang.Object[][][]):137;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.util.List,java.lang.Object[][][]):138;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.util.List,java.lang.Object[][][]):140;1.0;1
org.jfree.data.xy$DefaultWindDataset#DefaultWindDataset(java.util.List,java.lang.Object[][][]):169;1.0;1
org.jfree.data.xy$DefaultWindDataset#seriesNameListFromDataArray(java.lang.Object[][]):282;1.0;1
org.jfree.data.xy$DefaultWindDataset#seriesNameListFromDataArray(java.lang.Object[][]):283;1.0;1
org.jfree.data.xy$DefaultWindDataset#seriesNameListFromDataArray(java.lang.Object[][]):284;1.0;1
org.jfree.data.xy$DefaultWindDataset#seriesNameListFromDataArray(java.lang.Object[][]):287;1.0;1
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1749;1.0;1
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4479;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable):168;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable):169;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):185;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):186;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):187;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):188;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):189;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):190;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):191;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):192;1.0;1
org.jfree.data.time$TimeSeries#TimeSeries(java.lang.Comparable,java.lang.String,java.lang.String):193;1.0;1
