name;suspiciousness_value;ranking
org.jfree.chart.plot$XYPlot#getRenderer():1576;1.0;1
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):764;1.0;1
org.jfree.data.xy$IntervalXYDelegate#IntervalXYDelegate(org.jfree.data.xy.XYDataset):122;1.0;1
org.jfree.data.xy$IntervalXYDelegate#IntervalXYDelegate(org.jfree.data.xy.XYDataset):123;1.0;1
org.jfree.data.xy$IntervalXYDelegate#getDomainBounds(boolean):367;1.0;1
org.jfree.data.xy$IntervalXYDelegate#getDomainBounds(boolean):368;1.0;1
org.jfree.data.xy$IntervalXYDelegate#getDomainBounds(boolean):374;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():86;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():87;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():88;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():89;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():90;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#getSeriesCount():151;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#getDomainBounds(boolean):292;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#getDomainBounds(boolean):293;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#getDomainBounds(boolean):296;1.0;1
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):739;0.5;2
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):742;0.5;2
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):743;0.5;2
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):744;0.5;2
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):747;0.5;2
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):776;0.5;2
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):777;0.5;2
org.jfree.chart.axis$DateAxis#getMaximumDate():649;0.5;2
org.jfree.chart.axis$DateAxis#getMaximumDate():650;0.5;2
org.jfree.chart.axis$DateAxis#getMaximumDate():651;0.5;2
org.jfree.chart.axis$DateAxis#getMaximumDate():652;0.5;2
org.jfree.chart.axis$DateAxis#getMaximumDate():653;0.5;2
org.jfree.chart.axis$DateAxis#getMaximumDate():654;0.5;2
