name;suspiciousness_value;ranking
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4479;1.0;1
org.jfree.data.xy$IntervalXYDelegate#IntervalXYDelegate(org.jfree.data.xy.XYDataset):122;1.0;1
org.jfree.data.xy$IntervalXYDelegate#IntervalXYDelegate(org.jfree.data.xy.XYDataset):123;1.0;1
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset):647;1.0;1
org.jfree.chart.axis$PeriodAxis#getMinorTickMarkPaint():458;1.0;1
org.jfree.chart.axis$NumberAxis3D#NumberAxis3D():100;1.0;1
org.jfree.chart.axis$NumberAxis3D#NumberAxis3D():101;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():86;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():87;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():88;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():89;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#CategoryTableXYDataset():90;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#getSeriesCount():151;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#getDomainBounds(boolean):292;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#getDomainBounds(boolean):293;1.0;1
org.jfree.data.xy$CategoryTableXYDataset#getDomainBounds(boolean):296;1.0;1
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):777;2.44140625E-4;2
org.jfree.chart.axis$DateAxis#DateAxis():340;2.44140625E-4;2
org.jfree.chart.axis$DateAxis#DateAxis():341;2.44140625E-4;2
org.jfree.chart.plot$CombinedRangeCategoryPlot#CombinedRangeCategoryPlot():108;2.44140625E-4;2
org.jfree.chart.plot$CombinedRangeCategoryPlot#CombinedRangeCategoryPlot():109;2.44140625E-4;2
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):764;1.0058283805847168E-7;3
org.jfree.chart.axis$NumberAxis#NumberAxis():192;8.38860799999998E-9;4
org.jfree.chart.axis$NumberAxis#NumberAxis():193;8.38860799999998E-9;4
org.jfree.data.xy$IntervalXYDelegate#getDomainBounds(boolean):367;8.38860799999998E-9;4
org.jfree.data.xy$IntervalXYDelegate#getDomainBounds(boolean):368;8.38860799999998E-9;4
org.jfree.data.xy$IntervalXYDelegate#getDomainBounds(boolean):374;8.38860799999998E-9;4
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset,boolean):670;1.1077200472554553E-9;5
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset,boolean):671;1.1077200472554553E-9;5
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset,boolean):672;1.1077200472554553E-9;5
org.jfree.data.time$RegularTimePeriod#downsize(java.lang.Class):111;1.1077200472554553E-9;5
org.jfree.data.time$RegularTimePeriod#downsize(java.lang.Class):114;1.1077200472554553E-9;5
org.jfree.data.time$RegularTimePeriod#downsize(java.lang.Class):117;1.1077200472554553E-9;5
org.jfree.data.time$RegularTimePeriod#downsize(java.lang.Class):118;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day():113;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day():114;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date):151;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date):152;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):160;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):162;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):165;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):168;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):169;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):170;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):171;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):172;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):173;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):174;1.1077200472554553E-9;5
org.jfree.data.time$Day#Day(java.util.Date,java.util.TimeZone):175;1.1077200472554553E-9;5
org.jfree.chart.axis$DateAxis#getMaximumDate():649;1.1077200472554553E-9;5
org.jfree.chart.axis$DateAxis#getMaximumDate():650;1.1077200472554553E-9;5
org.jfree.chart.axis$DateAxis#getMaximumDate():651;1.1077200472554553E-9;5
org.jfree.chart.axis$DateAxis#getMaximumDate():652;1.1077200472554553E-9;5
org.jfree.chart.axis$DateAxis#getMaximumDate():653;1.1077200472554553E-9;5
org.jfree.chart.axis$DateAxis#getMaximumDate():654;1.1077200472554553E-9;5
org.jfree.chart.axis$DateAxis#getMaximumDate():658;1.1077200472554553E-9;5
org.jfree.chart.plot$CombinedRangeCategoryPlot#CombinedRangeCategoryPlot(org.jfree.chart.axis.ValueAxis):117;1.1077200472554553E-9;5
org.jfree.chart.plot$CombinedRangeCategoryPlot#CombinedRangeCategoryPlot(org.jfree.chart.axis.ValueAxis):118;1.1077200472554553E-9;5
org.jfree.chart.plot$CombinedRangeCategoryPlot#CombinedRangeCategoryPlot(org.jfree.chart.axis.ValueAxis):119;1.1077200472554553E-9;5
org.jfree.chart.plot$CombinedRangeCategoryPlot#CombinedRangeCategoryPlot(org.jfree.chart.axis.ValueAxis):120;1.1077200472554553E-9;5
org.jfree.chart.plot$CombinedRangeCategoryPlot#getDataRange(org.jfree.chart.axis.ValueAxis):420;1.1077200472554553E-9;5
org.jfree.chart.plot$CombinedRangeCategoryPlot#getDataRange(org.jfree.chart.axis.ValueAxis):421;1.1077200472554553E-9;5
org.jfree.chart.plot$CombinedRangeCategoryPlot#getDataRange(org.jfree.chart.axis.ValueAxis):428;1.1077200472554553E-9;5
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String):186;1.1077200472554553E-9;5
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String):187;1.1077200472554553E-9;5
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod):200;1.1077200472554553E-9;5
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod):201;1.1077200472554553E-9;5
org.jfree.data.time$RegularTimePeriod#downsize(java.lang.Class):108;2.0055838419617602E-10;6
org.jfree.data.time$SerialDate#isLeapYear(int):502;2.0055838419617602E-10;6
org.jfree.data.time$SerialDate#isLeapYear(int):505;2.0055838419617602E-10;6
org.jfree.data.time$SerialDate#isLeapYear(int):509;2.0055838419617602E-10;6
org.jfree.data.time$SpreadsheetDate#calcSerial(int,int,int):453;2.0055838419617602E-10;6
org.jfree.data.time$DateRange#getUpperDate():144;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):218;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):166;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):169;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):172;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):175;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):219;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):222;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):225;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):226;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):227;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):228;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):229;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):230;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):231;2.0055838419617602E-10;6
org.jfree.chart.axis$PeriodAxis#PeriodAxis(java.lang.String,org.jfree.data.time.RegularTimePeriod,org.jfree.data.time.RegularTimePeriod,java.util.TimeZone,java.util.Locale):232;2.0055838419617602E-10;6
