name;suspiciousness_value;ranking
org.jfree.data.xy$VectorSeriesCollection#VectorSeriesCollection():69;1.0;1
org.jfree.data.xy$VectorSeriesCollection#VectorSeriesCollection():70;1.0;1
org.jfree.data.xy$VectorSeriesCollection#VectorSeriesCollection():71;1.0;1
org.jfree.data.xy$VectorSeriesCollection#getSeriesCount():134;1.0;1
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4479;1.0;1
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset):647;1.0;1
org.jfree.chart.text$TextBox#TextBox(java.lang.String):87;1.0;1
org.jfree.chart.text$TextBox#TextBox(java.lang.String):88;1.0;1
org.jfree.chart.text$TextBox#TextBox(java.lang.String):89;1.0;1
org.jfree.chart.text$TextBox#TextBox(java.lang.String):90;1.0;1
org.jfree.chart.text$TextBox#TextBox(java.lang.String):93;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):100;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):66;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):69;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):101;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):102;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):103;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):104;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):105;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):106;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):107;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):108;1.0;1
org.jfree.chart.text$TextBox#TextBox(org.jfree.chart.text.TextBlock):109;1.0;1
org.jfree.chart.text$TextBox#getInteriorGap():153;1.0;1
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1749;2.44140625E-4;2
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset,boolean):674;2.44140625E-4;2
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):764;2.5089018975452307E-6;3
org.jfree.chart.plot$XYPlot#getRenderer():1576;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset,boolean):663;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset,boolean):667;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset,boolean):669;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#findDomainBounds(org.jfree.data.xy.XYDataset,boolean):676;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):739;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):742;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):743;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):744;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):747;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):776;1.0058283805847168E-7;4
org.jfree.data.general$DatasetUtilities#iterateDomainBounds(org.jfree.data.xy.XYDataset,boolean):777;1.0058283805847168E-7;4
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint):125;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint):126;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):137;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):138;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):141;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):144;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):147;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):148;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):149;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):150;2.0055838419617602E-10;5
org.jfree.chart.text$TextFragment#TextFragment(java.lang.String,java.awt.Font,java.awt.Paint,float):151;2.0055838419617602E-10;5
org.jfree.chart.text$TextBlock#addLine(java.lang.String,java.awt.Font,java.awt.Paint):119;2.0055838419617602E-10;5
org.jfree.chart.text$TextBlock#addLine(java.lang.String,java.awt.Font,java.awt.Paint):120;2.0055838419617602E-10;5
org.jfree.chart.text$TextBlock#addLine(org.jfree.chart.text.TextLine):128;2.0055838419617602E-10;5
org.jfree.chart.text$TextBlock#addLine(org.jfree.chart.text.TextLine):129;2.0055838419617602E-10;5
org.jfree.chart.text$TextLine#TextLine(java.lang.String,java.awt.Font,java.awt.Paint):107;2.0055838419617602E-10;5
org.jfree.chart.text$TextLine#TextLine(java.lang.String,java.awt.Font,java.awt.Paint):108;2.0055838419617602E-10;5
org.jfree.chart.text$TextLine#TextLine(java.lang.String,java.awt.Font,java.awt.Paint):111;2.0055838419617602E-10;5
org.jfree.chart.text$TextLine#TextLine(java.lang.String,java.awt.Font,java.awt.Paint):114;2.0055838419617602E-10;5
org.jfree.chart.text$TextLine#TextLine(java.lang.String,java.awt.Font,java.awt.Paint):117;2.0055838419617602E-10;5
org.jfree.chart.text$TextLine#TextLine(java.lang.String,java.awt.Font,java.awt.Paint):118;2.0055838419617602E-10;5
org.jfree.chart.text$TextLine#TextLine(java.lang.String,java.awt.Font,java.awt.Paint):119;2.0055838419617602E-10;5
org.jfree.chart.text$TextLine#TextLine(java.lang.String,java.awt.Font,java.awt.Paint):120;2.0055838419617602E-10;5
org.jfree.chart.text$TextBlock#TextBlock():85;2.1353931710042417E-13;6
org.jfree.chart.text$TextBlock#TextBlock():86;2.1353931710042417E-13;6
org.jfree.chart.text$TextBlock#TextBlock():87;2.1353931710042417E-13;6
org.jfree.chart.text$TextBlock#TextBlock():88;2.1353931710042417E-13;6
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4473;9.423033253126362E-14;7
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4474;9.423033253126362E-14;7
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4475;9.423033253126362E-14;7
org.jfree.chart.plot$XYPlot#getDataRange(org.jfree.chart.axis.ValueAxis):4493;9.423033253126362E-14;7
org.jfree.chart.plot$XYPlot#XYPlot(org.jfree.data.xy.XYDataset,org.jfree.chart.axis.ValueAxis,org.jfree.chart.axis.ValueAxis,org.jfree.chart.renderer.xy.XYItemRenderer):648;4.400591171133935E-14;8
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1744;4.400591171133935E-14;8
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1745;4.400591171133935E-14;8
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1746;4.400591171133935E-14;8
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1747;4.400591171133935E-14;8
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1748;4.400591171133935E-14;8
org.jfree.chart.plot$XYPlot#getRendererForDataset(org.jfree.data.xy.XYDataset):1754;4.400591171133935E-14;8
org.jfree.chart.plot$XYPlot#XYPlot(org.jfree.data.xy.XYDataset,org.jfree.chart.axis.ValueAxis,org.jfree.chart.axis.ValueAxis,org.jfree.chart.renderer.xy.XYItemRenderer):653;2.1589835672287203E-14;9
org.jfree.chart.plot$XYPlot#XYPlot(org.jfree.data.xy.XYDataset,org.jfree.chart.axis.ValueAxis,org.jfree.chart.axis.ValueAxis,org.jfree.chart.renderer.xy.XYItemRenderer):654;2.1589835672287203E-14;9
org.jfree.chart.axis$CyclicNumberAxis#CyclicNumberAxis(double):165;2.1589835672287203E-14;9
org.jfree.chart.axis$CyclicNumberAxis#CyclicNumberAxis(double):166;2.1589835672287203E-14;9
org.jfree.data.xy$AbstractXYDataset#AbstractXYDataset():54;1.1061113412434884E-14;10
org.jfree.chart.plot$Plot#setInsets(org.jfree.chart.util.RectangleInsets):518;1.842546887379448E-15;11
org.jfree.chart.plot$Plot#setInsets(org.jfree.chart.util.RectangleInsets):519;1.842546887379448E-15;11
org.jfree.chart.plot$Plot#setInsets(org.jfree.chart.util.RectangleInsets,boolean):533;1.075973998585662E-15;12
org.jfree.chart.plot$Plot#setInsets(org.jfree.chart.util.RectangleInsets,boolean):536;1.075973998585662E-15;12
org.jfree.chart.plot$Plot#setInsets(org.jfree.chart.util.RectangleInsets,boolean):537;1.075973998585662E-15;12
org.jfree.chart.plot$Plot#setInsets(org.jfree.chart.util.RectangleInsets,boolean):538;1.075973998585662E-15;12
org.jfree.chart.plot$Plot#setInsets(org.jfree.chart.util.RectangleInsets,boolean):539;1.075973998585662E-15;12
org.jfree.chart.plot$Plot#setInsets(org.jfree.chart.util.RectangleInsets,boolean):543;1.075973998585662E-15;12
org.jfree.data.general$AbstractSeriesDataset#AbstractSeriesDataset():63;2.4692099037524387E-16;13
org.jfree.data.general$AbstractSeriesDataset#AbstractSeriesDataset():64;2.4692099037524387E-16;13
org.jfree.chart.plot$XYPlot#getDatasetsMappedToDomainAxis(java.lang.Integer):4323;1.5745972824004866E-16;14
