name;suspiciousness_value;ranking
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1228;1.0;1
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1229;1.0;1
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1230;1.0;1
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1231;1.0;1
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1234;1.0;1
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1235;1.0;1
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1236;1.0;1
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1237;1.0;1
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1240;1.0;1
org.apache.commons.lang.text$StrBuilder#startsWith(java.lang.String):1867;1.0;1
org.apache.commons.lang.text$StrBuilder#setNewLineText(java.lang.String):147;0.5;2
org.apache.commons.lang.text$StrBuilder#setNewLineText(java.lang.String):148;0.5;2
org.apache.commons.lang.text$StrBuilder#getNullText():158;0.5;2
org.apache.commons.lang.text$StrBuilder#lastIndexOf(char,int):2201;0.5;2
org.apache.commons.lang.text$StrBuilder#lastIndexOf(char,int):2202;0.5;2
org.apache.commons.lang.text$StrBuilder#lastIndexOf(char,int):2206;0.5;2
org.apache.commons.lang.text$StrBuilder#startsWith(java.lang.String):1862;0.3333333333333333;3
org.apache.commons.lang.text$StrBuilder#startsWith(java.lang.String):1865;0.3333333333333333;3
org.apache.commons.lang.text$StrBuilder#startsWith(java.lang.String):1866;0.3333333333333333;3
org.apache.commons.lang.text$StrBuilder#lastIndexOf(char,int):2197;0.3333333333333333;3
org.apache.commons.lang.text$StrBuilder#lastIndexOf(char,int):2198;0.3333333333333333;3
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1227;0.25;4
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadRight(java.lang.Object,int,char):1242;0.25;4
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadLeft(java.lang.Object,int,char):1184;0.2;5
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadLeft(java.lang.Object,int,char):1185;0.2;5
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadLeft(java.lang.Object,int,char):1186;0.2;5
org.apache.commons.lang.text$StrBuilder#append(double):731;0.14285714285714285;6
org.apache.commons.lang.text$StrBuilder#appendFixedWidthPadLeft(java.lang.Object,int,char):1183;0.14285714285714285;6
org.apache.commons.lang.text$StrBuilder#ensureCapacity(int):229;0.0625;7
org.apache.commons.lang.text$StrBuilder#ensureCapacity(int):230;0.0625;7
org.apache.commons.lang.text$StrBuilder#ensureCapacity(int):231;0.0625;7
org.apache.commons.lang.text$StrBuilder#append(java.lang.String):474;0.023809523809523808;8
org.apache.commons.lang.text$StrBuilder#append(java.lang.String):475;0.023809523809523808;8
org.apache.commons.lang.text$StrBuilder#append(java.lang.String):476;0.023809523809523808;8
org.apache.commons.lang.text$StrBuilder#append(java.lang.String):477;0.023809523809523808;8
org.apache.commons.lang.text$StrBuilder#StrBuilder(int):107;0.021739130434782608;9
org.apache.commons.lang.text$StrBuilder#StrBuilder(int):108;0.021739130434782608;9
org.apache.commons.lang.text$StrBuilder#StrBuilder(int):111;0.021739130434782608;9
org.apache.commons.lang.text$StrBuilder#StrBuilder(int):112;0.021739130434782608;9
org.apache.commons.lang.text$StrBuilder#length():182;0.02127659574468085;10
org.apache.commons.lang.text$StrBuilder#append(java.lang.String):469;0.0196078431372549;11
org.apache.commons.lang.text$StrBuilder#append(java.lang.String):472;0.0196078431372549;11
org.apache.commons.lang.text$StrBuilder#append(java.lang.String):473;0.0196078431372549;11
org.apache.commons.lang.text$StrBuilder#append(java.lang.String):479;0.0196078431372549;11
org.apache.commons.lang.text$StrBuilder#ensureCapacity(int):228;0.019230769230769232;12
org.apache.commons.lang.text$StrBuilder#ensureCapacity(int):233;0.019230769230769232;12
