name;suspiciousness_value;ranking
org.apache.commons.math.special$Gamma#regularizedGammaP(double,double,double,int):180;1.0;1
org.apache.commons.math$MathException#MathException(java.lang.String,java.lang.Object[]):151;1.0;1
org.apache.commons.math$MathException#MathException(java.lang.String,java.lang.Object[]):152;1.0;1
org.apache.commons.math$MathException#MathException(java.lang.String,java.lang.Object[]):153;1.0;1
org.apache.commons.math$MathException#MathException(java.lang.String,java.lang.Object[]):154;1.0;1
org.apache.commons.math$MathException#MathException(java.lang.String,java.lang.Object[]):155;1.0;1
org.apache.commons.math$MathException#translate(java.lang.String,java.util.Locale):83;1.0;1
org.apache.commons.math$MathException#translate(java.lang.String,java.util.Locale):85;1.0;1
org.apache.commons.math$MathException#translate(java.lang.String,java.util.Locale):94;1.0;1
org.apache.commons.math$MathException#translate(java.lang.String,java.util.Locale):100;1.0;1
org.apache.commons.math$MathException#buildMessage(java.lang.String,java.lang.Object[],java.util.Locale):113;1.0;1
org.apache.commons.math$MathException#buildMessage(java.lang.String,java.lang.Object[],java.util.Locale):114;1.0;1
org.apache.commons.math$MathException#buildMessage(java.lang.String,java.lang.Object[],java.util.Locale):115;1.0;1
org.apache.commons.math$MathException#getCause():235;1.0;1
org.apache.commons.math$MathException#printStackTrace(java.io.PrintWriter):265;1.0;1
org.apache.commons.math$MathException#printStackTrace(java.io.PrintWriter):266;1.0;1
org.apache.commons.math$MathException#printStackTrace(java.io.PrintWriter):267;1.0;1
org.apache.commons.math$MathException#printStackTrace(java.io.PrintWriter):271;1.0;1
org.apache.commons.math$MathException#printStackTrace(java.io.PrintWriter):272;1.0;1
org.apache.commons.math$ConvergenceException#ConvergenceException(java.lang.String,java.lang.Object[]):44;1.0;1
org.apache.commons.math$ConvergenceException#ConvergenceException(java.lang.String,java.lang.Object[]):45;1.0;1
org.apache.commons.math$MaxIterationsExceededException#MaxIterationsExceededException(int):36;1.0;1
org.apache.commons.math$MaxIterationsExceededException#MaxIterationsExceededException(int):38;1.0;1
org.apache.commons.math$MaxIterationsExceededException#MaxIterationsExceededException(int):39;1.0;1
org.apache.commons.math.distribution$NormalDistributionImpl#cumulativeProbability(double):109;0.35355339059327373;2
org.apache.commons.math.special$Gamma#regularizedGammaP(double,double,double,int):161;0.3333333333333333;3
org.apache.commons.math.special$Erf#erf(double):58;0.2886751345948129;4
org.apache.commons.math.special$Erf#erf(double):56;0.2773500981126146;5
org.apache.commons.math.special$Erf#erf(double):57;0.2773500981126146;5
org.apache.commons.math.special$Erf#erf(double):60;0.2773500981126146;5
org.apache.commons.math.distribution$NormalDistributionImpl#NormalDistributionImpl(double,double):50;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#NormalDistributionImpl(double,double):39;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#NormalDistributionImpl(double,double):42;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#NormalDistributionImpl(double,double):51;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#NormalDistributionImpl(double,double):52;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#NormalDistributionImpl(double,double):53;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#setMean(double):76;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#setMean(double):77;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#setStandardDeviation(double):93;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#setStandardDeviation(double):97;0.22360679774997896;6
org.apache.commons.math.distribution$NormalDistributionImpl#setStandardDeviation(double):98;0.22360679774997896;6
org.apache.commons.math.special$Gamma#regularizedGammaP(double,double,double,int):168;0.1690308509457033;7
