name;suspiciousness_value;ranking
org.apache.commons.math.optimization.direct$BaseAbstractMultivariateSimpleBoundsOptimizer#optimize(int,org.apache.commons.math.analysis.MultivariateFunction,org.apache.commons.math.optimization.GoalType,double[]):85;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1653;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1654;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1655;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1656;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1662;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1663;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1664;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1665;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1744;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1745;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1746;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1747;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1749;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1750;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1751;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1752;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#caller(int):2454;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#caller(int):2455;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#caller(int):2456;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#caller(int):2457;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer$PathIsExploredException#BOBYQAOptimizer$PathIsExploredException():2479;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer$PathIsExploredException#BOBYQAOptimizer$PathIsExploredException():2480;1.0;1
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1640;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1641;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1642;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1646;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1650;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1713;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1714;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1715;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1716;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1717;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1718;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1729;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1730;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1731;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1733;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1734;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1736;7.552230840701668E-9;2
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1738;7.552230840701668E-9;2
org.apache.commons.math.linear$ArrayRealVector#ArrayRealVector(int):62;3.742392822339003E-9;3
org.apache.commons.math.linear$ArrayRealVector#ArrayRealVector(int):63;3.742392822339003E-9;3
org.apache.commons.math.linear$ArrayRealVector#ArrayRealVector(int):64;3.742392822339003E-9;3
org.apache.commons.math.linear$ArrayRealVector#setEntry(int,double):677;3.742392822339003E-9;3
org.apache.commons.math.linear$ArrayRealVector#setEntry(int,double):680;3.742392822339003E-9;3
org.apache.commons.math.linear$ArrayRealVector#setEntry(int,double):681;3.742392822339003E-9;3
org.apache.commons.math.linear$ArrayRealVector#toArray():732;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BaseAbstractMultivariateSimpleBoundsOptimizer#optimize(int,org.apache.commons.math.analysis.MultivariateFunction,org.apache.commons.math.optimization.GoalType,double[],double[],double[]):121;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BaseAbstractMultivariateSimpleBoundsOptimizer#optimize(int,org.apache.commons.math.analysis.MultivariateFunction,org.apache.commons.math.optimization.GoalType,double[],double[],double[]):122;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BaseAbstractMultivariateSimpleBoundsOptimizer#optimize(int,org.apache.commons.math.analysis.MultivariateFunction,org.apache.commons.math.optimization.GoalType,double[],double[],double[]):123;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BaseAbstractMultivariateSimpleBoundsOptimizer#optimize(int,org.apache.commons.math.analysis.MultivariateFunction,org.apache.commons.math.optimization.GoalType,double[],double[],double[]):129;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BaseAbstractMultivariateSimpleBoundsOptimizer#optimize(int,org.apache.commons.math.analysis.MultivariateFunction,org.apache.commons.math.optimization.GoalType,double[],double[],double[]):130;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BaseAbstractMultivariateSimpleBoundsOptimizer#optimize(int,org.apache.commons.math.analysis.MultivariateFunction,org.apache.commons.math.optimization.GoalType,double[],double[],double[]):131;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#doOptimize():241;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#doOptimize():242;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#doOptimize():244;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):287;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):289;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):298;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):299;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):300;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):301;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):302;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):314;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqa(double[],double[]):332;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):376;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):378;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):379;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):380;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):381;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):382;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):384;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):385;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):386;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):388;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):389;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):390;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):391;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):405;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#bobyqb(double[],double[]):407;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1584;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1586;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1587;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1588;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1590;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1591;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1592;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1597;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1598;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1599;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1600;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1602;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1603;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1606;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1607;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1609;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1610;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1611;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1612;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1620;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1621;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1622;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1624;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1625;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1626;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1627;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1628;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1629;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1630;3.742392822339003E-9;3
org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1631;3.742392822339003E-9;3
