name;suspiciousness_value;ranking
org.apache.commons.math.exception$MathIllegalArgumentException#MathIllegalArgumentException(org.apache.commons.math.exception.util.Localizable,java.lang.Object[]):44;1.0;1
org.apache.commons.math.exception$MathIllegalArgumentException#MathIllegalArgumentException(org.apache.commons.math.exception.util.Localizable,java.lang.Object[]):45;1.0;1
org.apache.commons.math.exception$MathIllegalArgumentException#MathIllegalArgumentException(org.apache.commons.math.exception.util.Localizable,java.lang.Object[]):46;1.0;1
org.apache.commons.math.exception$MathIllegalArgumentException#MathIllegalArgumentException(org.apache.commons.math.exception.util.Localizable,java.lang.Object[]):47;1.0;1
org.apache.commons.math.exception$MathIllegalArgumentException#getLocalizedMessage():63;1.0;1
org.apache.commons.math.exception$MathIllegalNumberException#MathIllegalNumberException(org.apache.commons.math.exception.util.Localizable,java.lang.Number,java.lang.Object[]):46;1.0;1
org.apache.commons.math.exception$MathIllegalNumberException#MathIllegalNumberException(org.apache.commons.math.exception.util.Localizable,java.lang.Number,java.lang.Object[]):47;1.0;1
org.apache.commons.math.exception$MathIllegalNumberException#MathIllegalNumberException(org.apache.commons.math.exception.util.Localizable,java.lang.Number,java.lang.Object[]):48;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#ExceptionContext(java.lang.Throwable):64;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#ExceptionContext(java.lang.Throwable):65;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#ExceptionContext(java.lang.Throwable):66;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#ExceptionContext(java.lang.Throwable):67;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#ExceptionContext(java.lang.Throwable):68;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#ExceptionContext(java.lang.Throwable):69;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#addMessage(org.apache.commons.math.exception.util.Localizable,java.lang.Object[]):87;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#addMessage(org.apache.commons.math.exception.util.Localizable,java.lang.Object[]):88;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#addMessage(org.apache.commons.math.exception.util.Localizable,java.lang.Object[]):89;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#getLocalizedMessage():137;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#getMessage(java.util.Locale):147;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):171;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):172;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):173;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):174;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):175;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):176;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):177;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):179;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):180;1.0;1
org.apache.commons.math.exception.util$ExceptionContext#buildMessage(java.util.Locale,java.lang.String):186;1.0;1
org.apache.commons.math.exception.util$ArgUtils#flatten(java.lang.Object[]):42;1.0;1
org.apache.commons.math.exception.util$ArgUtils#flatten(java.lang.Object[]):43;1.0;1
org.apache.commons.math.exception.util$ArgUtils#flatten(java.lang.Object[]):44;1.0;1
org.apache.commons.math.exception.util$ArgUtils#flatten(java.lang.Object[]):45;1.0;1
org.apache.commons.math.exception.util$ArgUtils#flatten(java.lang.Object[]):46;1.0;1
org.apache.commons.math.exception.util$ArgUtils#flatten(java.lang.Object[]):47;1.0;1
org.apache.commons.math.exception.util$ArgUtils#flatten(java.lang.Object[]):50;1.0;1
org.apache.commons.math.exception.util$ArgUtils#flatten(java.lang.Object[]):54;1.0;1
org.apache.commons.math.analysis.solvers$UnivariateRealSolverUtils#verifyInterval(double,double):337;1.0;1
org.apache.commons.math.exception$NumberIsTooLargeException#NumberIsTooLargeException(org.apache.commons.math.exception.util.Localizable,java.lang.Number,java.lang.Number,boolean):67;1.0;1
org.apache.commons.math.exception$NumberIsTooLargeException#NumberIsTooLargeException(org.apache.commons.math.exception.util.Localizable,java.lang.Number,java.lang.Number,boolean):69;1.0;1
org.apache.commons.math.exception$NumberIsTooLargeException#NumberIsTooLargeException(org.apache.commons.math.exception.util.Localizable,java.lang.Number,java.lang.Number,boolean):70;1.0;1
org.apache.commons.math.exception$NumberIsTooLargeException#NumberIsTooLargeException(org.apache.commons.math.exception.util.Localizable,java.lang.Number,java.lang.Number,boolean):71;1.0;1
org.apache.commons.math.exception.util$LocalizedFormats#getLocalizedString(java.util.Locale):373;1.0;1
org.apache.commons.math.exception.util$LocalizedFormats#getLocalizedString(java.util.Locale):380;1.0;1
org.apache.commons.math.exception.util$LocalizedFormats#getLocalizedString(java.util.Locale):386;1.0;1
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():157;0.9629629629629629;2
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():287;0.9629629629629629;2
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():172;0.896551724137931;3
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():173;0.896551724137931;3
org.apache.commons.math.analysis.solvers$BaseAbstractUnivariateRealSolver#solve(int,org.apache.commons.math.analysis.UnivariateFunction,double,double):195;0.8666666666666667;4
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#solve(int,org.apache.commons.math.analysis.UnivariateFunction,double,double,double,org.apache.commons.math.analysis.solvers.AllowedSolution):393;0.8387096774193549;5
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#solve(int,org.apache.commons.math.analysis.UnivariateFunction,double,double,double,org.apache.commons.math.analysis.solvers.AllowedSolution):394;0.8387096774193549;5
org.apache.commons.math.util$FastMath#max(double,double):3538;0.787878787878788;6
org.apache.commons.math.util$FastMath#max(double,double):3541;0.787878787878788;6
org.apache.commons.math.util$FastMath#max(double,double):3542;0.787878787878788;6
org.apache.commons.math.util$Precision#equals(double,double,int):282;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():169;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():195;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():198;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():199;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():200;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():201;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():202;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():203;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():204;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():205;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():211;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():213;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():233;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():236;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():241;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():246;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():247;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():251;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():252;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():254;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():273;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():275;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():283;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():284;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#guessX(double,double[],double[],int,int):365;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#guessX(double,double[],double[],int,int):366;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#guessX(double,double[],double[],int,int):367;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#guessX(double,double[],double[],int,int):368;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#guessX(double,double[],double[],int,int):373;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#guessX(double,double[],double[],int,int):374;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#guessX(double,double[],double[],int,int):375;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#guessX(double,double[],double[],int,int):378;0.787878787878788;6
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():161;0.7647058823529411;7
org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():162;0.7647058823529411;7
