name;suspiciousness_value;ranking
org.apache.commons.math.analysis$UnivariateRealSolverUtils#bracket(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double,int):179;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#PolynomialFunctionLagrangeForm(double[],double[]):70;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#PolynomialFunctionLagrangeForm(double[],double[]):72;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#PolynomialFunctionLagrangeForm(double[],double[]):73;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#PolynomialFunctionLagrangeForm(double[],double[]):74;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#PolynomialFunctionLagrangeForm(double[],double[]):75;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#PolynomialFunctionLagrangeForm(double[],double[]):76;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#PolynomialFunctionLagrangeForm(double[],double[]):77;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#PolynomialFunctionLagrangeForm(double[],double[]):78;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#verifyInterpolationArray(double[],double[]):289;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#verifyInterpolationArray(double[],double[]):293;1.0;1
org.apache.commons.math.analysis$PolynomialFunctionLagrangeForm#verifyInterpolationArray(double[],double[]):297;1.0;1
org.apache.commons.math.analysis$UnivariateRealSolverUtils#midpoint(double,double):218;1.6697486790634905E-4;2
org.apache.commons.math.analysis$UnivariateRealSolverUtils#bracket(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double):128;1.7308125738366528E-5;3
org.apache.commons.math.analysis$PolynomialFunction#PolynomialFunction(double[]):55;4.786669849982535E-6;4
org.apache.commons.math.analysis$PolynomialFunction#PolynomialFunction(double[]):56;4.786669849982535E-6;4
org.apache.commons.math.analysis$PolynomialFunction#PolynomialFunction(double[]):59;4.786669849982535E-6;4
org.apache.commons.math.analysis$PolynomialFunction#PolynomialFunction(double[]):60;4.786669849982535E-6;4
