name;suspiciousness_value;ranking
org.apache.commons.math.analysis$UnivariateRealSolverImpl#isSequence(double,double,double):283;1.0;1
org.apache.commons.math.analysis$BrentSolver#solve(double,double):141;1.0;1
org.apache.commons.math.analysis$UnivariateRealSolverImpl#clearResult():149;8.38860799999998E-9;2
org.apache.commons.math.analysis$UnivariateRealSolverImpl#clearResult():150;8.38860799999998E-9;2
org.apache.commons.math.analysis$UnivariateRealSolverImpl#verifyInterval(double,double):295;8.38860799999998E-9;2
org.apache.commons.math.analysis$UnivariateRealSolverImpl#verifyInterval(double,double):300;8.38860799999998E-9;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double):128;8.38860799999998E-9;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double):129;8.38860799999998E-9;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double):131;8.38860799999998E-9;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double):133;8.38860799999998E-9;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double):134;8.38860799999998E-9;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double):137;8.38860799999998E-9;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double):138;8.38860799999998E-9;2
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):87;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):61;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):89;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):93;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):94;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):95;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):96;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):97;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):98;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):99;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):100;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):101;1.1061113412434884E-14;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):102;1.1061113412434884E-14;3
org.apache.commons.math.analysis$BrentSolver#BrentSolver(org.apache.commons.math.analysis.UnivariateRealFunction):42;1.1061113412434884E-14;3
org.apache.commons.math.analysis$BrentSolver#BrentSolver(org.apache.commons.math.analysis.UnivariateRealFunction):43;1.1061113412434884E-14;3
