name;suspiciousness_value;ranking
org.apache.commons.math.analysis$UnivariateRealSolverImpl#getAbsoluteAccuracy():169;1.0058283805847168E-7;1
org.apache.commons.math.analysis$BrentSolver#solve(double,double):141;1.0058283805847168E-7;1
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):193;1.1061113412434884E-14;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):194;1.1061113412434884E-14;2
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):182;6.742916370762542E-17;3
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):183;6.742916370762542E-17;3
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):184;6.742916370762542E-17;3
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):185;6.742916370762542E-17;3
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):186;6.742916370762542E-17;3
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):187;6.742916370762542E-17;3
org.apache.commons.math.analysis$UnivariateRealSolverImpl#setResult(double,int):140;4.516650034977012E-17;4
org.apache.commons.math.analysis$UnivariateRealSolverImpl#setResult(double,int):141;4.516650034977012E-17;4
org.apache.commons.math.analysis$UnivariateRealSolverImpl#setResult(double,int):142;4.516650034977012E-17;4
org.apache.commons.math.analysis$UnivariateRealSolverImpl#setResult(double,int):143;4.516650034977012E-17;4
org.apache.commons.math.analysis$BrentSolver#solve(double,double):151;4.516650034977012E-17;4
org.apache.commons.math.analysis$BrentSolver#solve(double,double):147;3.068336310584807E-17;5
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):175;3.068336310584807E-17;5
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):176;3.068336310584807E-17;5
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):178;3.068336310584807E-17;5
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):179;3.068336310584807E-17;5
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):180;3.068336310584807E-17;5
org.apache.commons.math.analysis$BrentSolver#solve(double,double,double,double,double,double):189;3.068336310584807E-17;5
org.apache.commons.math.analysis$UnivariateRealSolverImpl#clearResult():149;1.0373215956637E-17;6
org.apache.commons.math.analysis$UnivariateRealSolverImpl#clearResult():150;1.0373215956637E-17;6
org.apache.commons.math.analysis$UnivariateRealSolverImpl#verifyInterval(double,double):295;1.0373215956637E-17;6
org.apache.commons.math.analysis$UnivariateRealSolverImpl#verifyInterval(double,double):300;1.0373215956637E-17;6
org.apache.commons.math.analysis$BrentSolver#solve(double,double):128;1.0373215956637E-17;6
org.apache.commons.math.analysis$BrentSolver#solve(double,double):129;1.0373215956637E-17;6
org.apache.commons.math.analysis$BrentSolver#solve(double,double):131;1.0373215956637E-17;6
org.apache.commons.math.analysis$BrentSolver#solve(double,double):133;1.0373215956637E-17;6
org.apache.commons.math.analysis$BrentSolver#solve(double,double):134;1.0373215956637E-17;6
org.apache.commons.math.analysis$BrentSolver#solve(double,double):137;1.0373215956637E-17;6
org.apache.commons.math.analysis$BrentSolver#solve(double,double):138;1.0373215956637E-17;6
org.apache.commons.math.analysis$BrentSolver#BrentSolver(org.apache.commons.math.analysis.UnivariateRealFunction):43;7.390943655832869E-18;7
org.apache.commons.math.analysis$BrentSolver#BrentSolver(org.apache.commons.math.analysis.UnivariateRealFunction):42;5.319706428273468E-18;8
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):93;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):94;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):95;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):96;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):97;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):98;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):99;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):100;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):101;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):102;2.834435097096272E-18;9
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):87;8.882190995042358E-19;10
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):61;8.882190995042358E-19;10
org.apache.commons.math.analysis$UnivariateRealSolverImpl#UnivariateRealSolverImpl(org.apache.commons.math.analysis.UnivariateRealFunction,int,double):89;8.882190995042358E-19;10
