name;suspiciousness_value;ranking
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):234;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):56;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):61;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):64;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):67;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):70;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):73;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):235;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):236;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):237;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):238;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#BigMatrixImpl(java.math.BigDecimal[]):240;1.0;1
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):986;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):989;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):990;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):991;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):992;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):993;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):994;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):995;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):997;0.5;2
org.apache.commons.math.linear$BigMatrixImpl#getRowDimension():947;0.03333333333333333;3
org.apache.commons.math.linear$BigMatrixImpl#getColumnDimension():956;0.03333333333333333;3
