name;suspiciousness_value;ranking
org.joda.time$IllegalFieldValueException#getMessage():314;1.0;1
org.joda.time$LocalDateTime#now(org.joda.time.Chronology):140;0.003853673314629474;2
org.joda.time$LocalDateTime#now(org.joda.time.Chronology):143;0.003853673314629474;2
org.joda.time$LocalDateTime#withWeekOfWeekyear(int):1748;0.003853673314629474;2
org.joda.time$LocalDate#withDayOfMonth(int):1689;0.003853673314629474;2
org.joda.time.field$PreciseDateTimeField#getRange():143;2.44140625E-4;3
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):264;2.44140625E-4;3
org.joda.time$DateTimeZone#printOffset(int):635;2.44140625E-4;3
org.joda.time$DateTimeZone#printOffset(int):636;2.44140625E-4;3
org.joda.time$LocalDateTime#withDayOfWeek(int):1793;2.44140625E-4;3
org.joda.time$LocalDate#now(org.joda.time.Chronology):151;2.44140625E-4;3
org.joda.time$LocalDate#now(org.joda.time.Chronology):154;2.44140625E-4;3
org.joda.time$LocalDate#withDayOfWeek(int):1704;2.44140625E-4;3
org.joda.time$LocalDate#LocalDate(long):308;1.9258006712938635E-7;4
org.joda.time$LocalDate#LocalDate(long):309;1.9258006712938635E-7;4
org.joda.time$LocalDateTime#LocalDateTime(long,org.joda.time.DateTimeZone):319;1.0058283805847168E-7;5
org.joda.time$LocalDateTime#LocalDateTime(long,org.joda.time.DateTimeZone):320;1.0058283805847168E-7;5
org.joda.time$LocalDateTime#LocalDateTime(org.joda.time.Chronology):292;3.4359738367999933E-9;6
org.joda.time$LocalDateTime#LocalDateTime(org.joda.time.Chronology):293;3.4359738367999933E-9;6
org.joda.time$LocalDate#LocalDate(org.joda.time.Chronology):295;1.2419731774040225E-11;7
org.joda.time$LocalDate#LocalDate(org.joda.time.Chronology):296;1.2419731774040225E-11;7
org.joda.time.chrono$BasicWeekOfWeekyearDateTimeField#getMaximumValueForSet(long,int):111;2.4379661111769524E-14;8
org.joda.time.chrono$BasicWeekOfWeekyearDateTimeField#getMinimumValue():79;4.193105849334813E-15;9
org.joda.time.field$BaseDateTimeField#add(long,long):267;3.2437745659291845E-15;10
org.joda.time.chrono$GJChronology$CutoverField#roundFloor(long):865;6.442870512941122E-16;11
org.joda.time.chrono$GJChronology$CutoverField#roundFloor(long):866;6.442870512941122E-16;11
org.joda.time.chrono$GregorianChronology#getInstance():90;1.484454789269674E-16;12
org.joda.time.chrono$GJChronology#getZone():294;6.742916370762542E-17;13
org.joda.time$DateTimeZone#getMillisKeepLocal(org.joda.time.DateTimeZone,long):1032;3.7360488844638136E-17;14
org.joda.time$DateTimeZone#getMillisKeepLocal(org.joda.time.DateTimeZone,long):1033;3.7360488844638136E-17;14
org.joda.time$DateTimeUtils$SystemMillisProvider#getMillis():530;3.485951562633613E-17;15
org.joda.time.chrono$LimitChronology$LimitDateTimeField#set(long,int):509;2.1119894784145355E-17;16
org.joda.time.chrono$LimitChronology$LimitDateTimeField#set(long,int):510;2.1119894784145355E-17;16
org.joda.time$LocalDate#LocalDate(long,org.joda.time.Chronology):335;6.337617341213264E-18;17
org.joda.time$LocalDate#LocalDate(long,org.joda.time.Chronology):336;6.337617341213264E-18;17
org.joda.time$LocalDate#LocalDate(long,org.joda.time.Chronology):338;6.337617341213264E-18;17
org.joda.time$LocalDate#LocalDate(long,org.joda.time.Chronology):339;6.337617341213264E-18;17
org.joda.time$LocalDate#LocalDate(long,org.joda.time.Chronology):340;6.337617341213264E-18;17
org.joda.time$LocalDate#LocalDate(long,org.joda.time.Chronology):341;6.337617341213264E-18;17
org.joda.time$LocalDate#LocalDate(long,org.joda.time.Chronology):342;6.337617341213264E-18;17
org.joda.time.field$BaseDateTimeField#getMaximumTextLength(java.util.Locale):834;1.1738454668505928E-18;18
org.joda.time$LocalDateTime#LocalDateTime(long,org.joda.time.Chronology):332;2.1716637606919723E-19;19
org.joda.time$LocalDateTime#LocalDateTime(long,org.joda.time.Chronology):333;2.1716637606919723E-19;19
org.joda.time$LocalDateTime#LocalDateTime(long,org.joda.time.Chronology):335;2.1716637606919723E-19;19
org.joda.time$LocalDateTime#LocalDateTime(long,org.joda.time.Chronology):336;2.1716637606919723E-19;19
org.joda.time$LocalDateTime#LocalDateTime(long,org.joda.time.Chronology):337;2.1716637606919723E-19;19
org.joda.time$LocalDateTime#LocalDateTime(long,org.joda.time.Chronology):338;2.1716637606919723E-19;19
org.joda.time.chrono$GJChronology$CutoverField#roundFloor(long):864;1.9060072388681739E-19;20
org.joda.time.chrono$GJChronology$CutoverField#roundFloor(long):875;1.9060072388681739E-19;20
org.joda.time$LocalDate#getField(int,org.joda.time.Chronology):503;1.1929096593037468E-19;21
org.joda.time$LocalDate#getField(int,org.joda.time.Chronology):505;1.1929096593037468E-19;21
org.joda.time$LocalDate#size():486;9.506281540908152E-20;22
org.joda.time$LocalDate#getField(int,org.joda.time.Chronology):499;9.506281540908152E-20;22
org.joda.time$LocalDate#getField(int,org.joda.time.Chronology):501;9.506281540908152E-20;22
org.joda.time$DateTimeZone#forOffsetHours(int):237;4.006766962371267E-20;23
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):254;3.261523110339587E-20;24
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):257;3.261523110339587E-20;24
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):260;3.261523110339587E-20;24
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):262;3.261523110339587E-20;24
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):263;3.261523110339587E-20;24
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):268;3.261523110339587E-20;24
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):271;3.261523110339587E-20;24
org.joda.time$DateTimeZone#forOffsetHoursMinutes(int,int):272;3.261523110339587E-20;24
org.joda.time.field$FieldUtils#safeMultiply(long,long):172;2.664944772773387E-20;25
org.joda.time.field$FieldUtils#safeMultiply(long,long):173;2.664944772773387E-20;25
org.joda.time.field$FieldUtils#safeMultiply(long,long):176;2.664944772773387E-20;25
org.joda.time$DateTimeZone#forOffsetMillis(int):282;1.798515488714343E-20;26
org.joda.time$DateTimeZone#forOffsetMillis(int):283;1.798515488714343E-20;26
org.joda.time.field$FieldUtils#safeMultiply(long,long):169;1.798515488714343E-20;26
org.joda.time.chrono$LimitChronology$LimitDateTimeField#roundFloor(long):545;7.127189264848732E-21;27
org.joda.time.chrono$LimitChronology$LimitDateTimeField#roundFloor(long):546;7.127189264848732E-21;27
org.joda.time.chrono$LimitChronology$LimitDateTimeField#roundFloor(long):547;7.127189264848732E-21;27
org.joda.time.chrono$LimitChronology$LimitDateTimeField#roundFloor(long):548;7.127189264848732E-21;27
org.joda.time.chrono$BasicChronology#getDaysInMonthMax(long):575;6.062641137990172E-21;28
org.joda.time.chrono$BasicChronology#getDaysInMonthMax(long):576;6.062641137990172E-21;28
org.joda.time.chrono$BasicChronology#getDaysInMonthMax(long):577;6.062641137990172E-21;28
org.joda.time$LocalDate#getLocalMillis():610;5.526515389137673E-21;29
org.joda.time$LocalDateTime#getLocalMillis():651;2.4773614293069145E-21;30
org.joda.time$LocalDate#getChronology():619;2.323092155269893E-21;31
org.joda.time.field$PreciseDurationField#add(long,long):109;2.195471965064607E-21;32
