name;suspiciousness_value;ranking
org.joda.time$DateTimeZone#getDefault():145;1.0;1
org.joda.time$DateTimeZone#getDefault():149;1.0;1
org.joda.time$DateTimeZone#forID(java.lang.String):214;1.0;1
org.joda.time$DateTimeZone#forID(java.lang.String):223;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):305;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):306;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):311;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):312;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):313;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):316;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):317;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):319;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):320;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):559;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):560;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):562;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):563;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):564;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):565;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):566;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):567;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):568;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):569;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):570;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):571;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):572;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):573;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):574;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):575;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):576;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):577;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):578;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):579;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):580;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):581;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):582;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):583;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):584;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):585;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):586;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):587;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):588;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):589;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):590;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):591;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):592;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):593;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):594;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):595;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):596;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):598;1.0;1
org.joda.time.tz$ZoneInfoProvider#getZone(java.lang.String):142;1.0;1
org.joda.time.chrono$BasicChronology#getFirstWeekOfYearMillis(int):348;1.0;1
org.joda.time.chrono$BasicChronology#getDayOfWeek(long):535;1.0;1
org.joda.time.chrono$BasicChronology#getDayOfWeek(long):544;1.0;1
org.joda.time$DateTimeFieldType$StandardDateTimeFieldType#getField(org.joda.time.Chronology):504;1.0;1
org.joda.time$DateTimeFieldType$StandardDateTimeFieldType#getField(org.joda.time.Chronology):506;1.0;1
org.joda.time.chrono$BasicWeekOfWeekyearDateTimeField#getMinimumValue():79;1.0;1
org.joda.time.chrono$BasicWeekOfWeekyearDateTimeField#getMaximumValue(long):87;1.0;1
org.joda.time.chrono$BasicWeekOfWeekyearDateTimeField#getMaximumValue(long):88;1.0;1
org.joda.time.chrono$BasicWeekOfWeekyearDateTimeField#getMaximumValueForSet(long,int):111;1.0;1
org.joda.time.field$FieldUtils#verifyValueBounds(org.joda.time.DateTimeField,int,int,int):218;1.0;1
org.joda.time.field$FieldUtils#verifyValueBounds(org.joda.time.DateTimeField,int,int,int):219;1.0;1
org.joda.time.field$FieldUtils#verifyValueBounds(org.joda.time.DateTimeField,int,int,int):220;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):108;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):109;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):110;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):111;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):112;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):113;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):114;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):115;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):116;1.0;1
org.joda.time$IllegalFieldValueException#IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number):117;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):41;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):42;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):44;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):50;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):53;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):54;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):55;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):56;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):57;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):59;1.0;1
org.joda.time$IllegalFieldValueException#createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String):63;1.0;1
org.joda.time$IllegalFieldValueException#getMessage():314;1.0;1
org.joda.time$Minutes#minutesBetween(org.joda.time.ReadablePartial,org.joda.time.ReadablePartial):118;1.0;1
org.joda.time$Minutes#minutesBetween(org.joda.time.ReadablePartial,org.joda.time.ReadablePartial):124;1.0;1
org.joda.time$MutablePeriod#MutablePeriod(int,int,int,int,int,int,int,int):131;1.0;1
org.joda.time$MutablePeriod#MutablePeriod(int,int,int,int,int,int,int,int):132;1.0;1
org.joda.time$Period#Period(int,int,int,int):312;1.0;1
org.joda.time$Period#Period(int,int,int,int):313;1.0;1
org.joda.time$Period#Period(int,int,int,int,int,int,int,int):329;1.0;1
org.joda.time$Period#Period(int,int,int,int,int,int,int,int):330;1.0;1
org.joda.time$Period#Period(long,long,org.joda.time.Chronology):478;1.0;1
org.joda.time$Period#Period(long,long,org.joda.time.Chronology):479;1.0;1
org.joda.time.base$BasePeriod#BasePeriod(int,int,int,int,int,int,int,int,org.joda.time.PeriodType):90;0.026211222318527502;2
org.joda.time.base$BasePeriod#BasePeriod(int,int,int,int,int,int,int,int,org.joda.time.PeriodType):91;0.026211222318527502;2
org.joda.time.base$BasePeriod#BasePeriod(int,int,int,int,int,int,int,int,org.joda.time.PeriodType):92;0.026211222318527502;2
org.joda.time.base$BasePeriod#BasePeriod(int,int,int,int,int,int,int,int,org.joda.time.PeriodType):93;0.026211222318527502;2
org.joda.time.base$BasePeriod#BasePeriod(int,int,int,int,int,int,int,int,org.joda.time.PeriodType):94;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):453;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):454;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):455;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):456;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):457;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):458;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):459;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):460;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):461;0.026211222318527502;2
org.joda.time.base$BasePeriod#setPeriodInternal(int,int,int,int,int,int,int,int):462;0.026211222318527502;2
org.joda.time.chrono$LimitChronology$LimitDateTimeField#set(long,int):509;0.0199943283386389;3
org.joda.time.chrono$LimitChronology$LimitDateTimeField#set(long,int):510;0.0199943283386389;3
org.joda.time$MutablePeriod#MutablePeriod():93;0.003853673314629474;4
org.joda.time$MutablePeriod#MutablePeriod():94;0.003853673314629474;4
org.joda.time.base$BaseSingleFieldPeriod#toMutablePeriod():284;2.44140625E-4;5
org.joda.time.base$BaseSingleFieldPeriod#toMutablePeriod():285;2.44140625E-4;5
org.joda.time.base$BaseSingleFieldPeriod#toMutablePeriod():286;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriod(org.joda.time.ReadablePeriod):564;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriod(org.joda.time.ReadablePeriod):565;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriod(org.joda.time.ReadablePeriod):567;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriodInto(int[],org.joda.time.ReadablePeriod):578;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriodInto(int[],org.joda.time.ReadablePeriod):579;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriodInto(int[],org.joda.time.ReadablePeriod):580;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriodInto(int[],org.joda.time.ReadablePeriod):581;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriodInto(int[],org.joda.time.ReadablePeriod):582;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriodInto(int[],org.joda.time.ReadablePeriod):583;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriodInto(int[],org.joda.time.ReadablePeriod):587;2.44140625E-4;5
org.joda.time.base$BasePeriod#addPeriodInto(int[],org.joda.time.ReadablePeriod):591;2.44140625E-4;5
org.joda.time$MutablePeriod#MutablePeriod(int,int,int,int):114;2.44140625E-4;5
org.joda.time$MutablePeriod#MutablePeriod(int,int,int,int):115;2.44140625E-4;5
org.joda.time$MutablePeriod#add(org.joda.time.ReadablePeriod):637;2.44140625E-4;5
org.joda.time$MutablePeriod#add(org.joda.time.ReadablePeriod):638;2.44140625E-4;5
org.joda.time.chrono$BuddhistChronology#getInstanceUTC():84;4.1720760406772475E-5;6
org.joda.time$DateTimeUtils#getPeriodType(org.joda.time.PeriodType):319;2.4673503051403165E-5;7
org.joda.time.base$BasePeriod#checkAndUpdate(org.joda.time.DurationFieldType,int[],int):390;2.4673503051403165E-5;7
org.joda.time.base$BasePeriod#checkAndUpdate(org.joda.time.DurationFieldType,int[],int):391;2.4673503051403165E-5;7
org.joda.time.base$BasePeriod#checkAndUpdate(org.joda.time.DurationFieldType,int[],int):397;2.4673503051403165E-5;7
org.joda.time.base$BasePeriod#checkAndUpdate(org.joda.time.DurationFieldType,int[],int):399;2.4673503051403165E-5;7
org.joda.time.base$AbstractPeriod#indexOf(org.joda.time.DurationFieldType):137;1.0664707614198258E-5;8
org.joda.time$PeriodType#indexOf(org.joda.time.DurationFieldType):648;1.0664707614198258E-5;8
org.joda.time$PeriodType#indexOf(org.joda.time.DurationFieldType):649;1.0664707614198258E-5;8
org.joda.time$PeriodType#indexOf(org.joda.time.DurationFieldType):650;1.0664707614198258E-5;8
org.joda.time.chrono$BuddhistChronology#getInstance():93;7.073425361933813E-6;9
org.joda.time.base$BasePeriod#BasePeriod(long,long,org.joda.time.PeriodType,org.joda.time.Chronology):106;2.5089018975452307E-6;10
org.joda.time.base$BasePeriod#BasePeriod(long,long,org.joda.time.PeriodType,org.joda.time.Chronology):107;2.5089018975452307E-6;10
org.joda.time.base$BasePeriod#BasePeriod(long,long,org.joda.time.PeriodType,org.joda.time.Chronology):108;2.5089018975452307E-6;10
org.joda.time.base$BasePeriod#BasePeriod(long,long,org.joda.time.PeriodType,org.joda.time.Chronology):109;2.5089018975452307E-6;10
org.joda.time.base$BasePeriod#BasePeriod(long,long,org.joda.time.PeriodType,org.joda.time.Chronology):110;2.5089018975452307E-6;10
org.joda.time.base$BasePeriod#BasePeriod(long,long,org.joda.time.PeriodType,org.joda.time.Chronology):111;2.5089018975452307E-6;10
org.joda.time.chrono$BuddhistChronology#withUTC():147;1.55954199550946E-6;11
org.joda.time$DateTimeFieldType#getName():378;1.3135498257090663E-7;12
org.joda.time.chrono$LimitChronology#checkLimits(long,java.lang.String):285;4.3980465111040044E-8;13
org.joda.time.chrono$LimitChronology#checkLimits(long,java.lang.String):288;4.3980465111040044E-8;13
org.joda.time.chrono$LimitChronology#checkLimits(long,java.lang.String):291;4.3980465111040044E-8;13
org.joda.time.base$BaseSingleFieldPeriod#between(org.joda.time.ReadablePartial,org.joda.time.ReadablePartial,org.joda.time.ReadablePeriod):89;1.5900582815750985E-8;14
org.joda.time.base$BaseSingleFieldPeriod#between(org.joda.time.ReadablePartial,org.joda.time.ReadablePartial,org.joda.time.ReadablePeriod):92;1.5900582815750985E-8;14
org.joda.time.base$BaseSingleFieldPeriod#between(org.joda.time.ReadablePartial,org.joda.time.ReadablePartial,org.joda.time.ReadablePeriod):95;1.5900582815750985E-8;14
org.joda.time.base$BaseSingleFieldPeriod#between(org.joda.time.ReadablePartial,org.joda.time.ReadablePartial,org.joda.time.ReadablePeriod):100;1.5900582815750985E-8;14
org.joda.time.base$BaseSingleFieldPeriod#between(org.joda.time.ReadablePartial,org.joda.time.ReadablePartial,org.joda.time.ReadablePeriod):103;1.5900582815750985E-8;14
org.joda.time.base$BaseSingleFieldPeriod#between(org.joda.time.ReadablePartial,org.joda.time.ReadablePartial,org.joda.time.ReadablePeriod):104;1.5900582815750985E-8;14
org.joda.time.base$BasePeriod#setValues(int[]):616;8.38860799999998E-9;15
org.joda.time.base$BasePeriod#setValues(int[]):617;8.38860799999998E-9;15
org.joda.time$DateTimeUtils#isContiguous(org.joda.time.ReadablePartial):364;6.144607839267852E-9;16
org.joda.time$DateTimeUtils#isContiguous(org.joda.time.ReadablePartial):367;6.144607839267852E-9;16
org.joda.time$DateTimeUtils#isContiguous(org.joda.time.ReadablePartial):368;6.144607839267852E-9;16
org.joda.time$DateTimeUtils#isContiguous(org.joda.time.ReadablePartial):377;6.144607839267852E-9;16
org.joda.time.chrono$BaseChronology#set(org.joda.time.ReadablePartial,long):239;6.144607839267852E-9;16
org.joda.time.chrono$BaseChronology#set(org.joda.time.ReadablePartial,long):240;6.144607839267852E-9;16
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):302;4.372025532280922E-9;17
org.joda.time.base$AbstractPeriod#getValues():95;1.1077200472554553E-9;18
org.joda.time.base$AbstractPeriod#getValues():96;1.1077200472554553E-9;18
org.joda.time.base$AbstractPeriod#getValues():97;1.1077200472554553E-9;18
org.joda.time.base$AbstractPeriod#getValues():99;1.1077200472554553E-9;18
org.joda.time$DateTimeFieldType$StandardDateTimeFieldType#getField(org.joda.time.Chronology):480;1.1302042935046174E-10;19
org.joda.time$DateTimeFieldType$StandardDateTimeFieldType#getField(org.joda.time.Chronology):482;1.1302042935046174E-10;19
org.joda.time.base$BaseDateTime#getMillis():295;1.1302042935046174E-10;19
org.joda.time$Days#getFieldType():235;1.2419731774040225E-11;20
org.joda.time.base$BasePeriod#getValue(int):329;3.874204889999992E-12;21
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#getDurationField():496;7.352781795652585E-13;22
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#getRangeDurationField():500;7.352781795652585E-13;22
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#getLeapDurationField():514;7.352781795652585E-13;22
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#getMinimumValue():547;7.352781795652585E-13;22
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#getMaximumValue():564;7.352781795652585E-13;22
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#get(long):403;5.40435739558411E-13;23
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#get(long):404;5.40435739558411E-13;23
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#set(long,int):462;5.40435739558411E-13;23
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#set(long,int):463;5.40435739558411E-13;23
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#set(long,int):464;5.40435739558411E-13;23
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#set(long,int):465;5.40435739558411E-13;23
org.joda.time.chrono$ZonedChronology$ZonedDateTimeField#set(long,int):471;5.40435739558411E-13;23
org.joda.time.chrono$GJChronology#GJChronology(org.joda.time.Chronology,org.joda.time.chrono.JulianChronology,org.joda.time.chrono.GregorianChronology,org.joda.time.Instant):281;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#GJChronology(org.joda.time.Chronology,org.joda.time.chrono.JulianChronology,org.joda.time.chrono.GregorianChronology,org.joda.time.Instant):282;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):220;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):221;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):222;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#withUTC():307;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#withZone(org.joda.time.DateTimeZone):317;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#withZone(org.joda.time.DateTimeZone):320;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#withZone(org.joda.time.DateTimeZone):321;4.709393957072224E-14;24
org.joda.time.chrono$GJChronology#assemble(org.joda.time.chrono.AssembledChronology$Fields):477;4.709393957072224E-14;24
org.joda.time.base$BaseSingleFieldPeriod#getValue(int):232;4.400591171133935E-14;25
org.joda.time.base$BaseSingleFieldPeriod#getValue(int):235;4.400591171133935E-14;25
org.joda.time.chrono$GJChronology#getZone():293;3.7027054557800335E-14;26
org.joda.time.chrono$GJChronology#getZone():296;3.7027054557800335E-14;26
org.joda.time$DateTimeZone#convertUTCToLocal(long):924;2.926237788438775E-14;27
org.joda.time$DateTimeZone#convertUTCToLocal(long):925;2.926237788438775E-14;27
org.joda.time$DateTimeZone#convertUTCToLocal(long):927;2.926237788438775E-14;27
org.joda.time$DateTimeZone#convertUTCToLocal(long):930;2.926237788438775E-14;27
org.joda.time$DateTimeZone#convertLocalToUTC(long,boolean,long):951;2.926237788438775E-14;27
org.joda.time$DateTimeZone#convertLocalToUTC(long,boolean,long):952;2.926237788438775E-14;27
org.joda.time$DateTimeZone#convertLocalToUTC(long,boolean,long):953;2.926237788438775E-14;27
org.joda.time$DateTimeZone#convertLocalToUTC(long,boolean,long):954;2.926237788438775E-14;27
org.joda.time$DateTimeZone#convertLocalToUTC(long,boolean,long):955;2.926237788438775E-14;27
org.joda.time.base$AbstractInstant#equals(java.lang.Object):259;2.926237788438775E-14;27
org.joda.time.base$AbstractInstant#equals(java.lang.Object):260;2.926237788438775E-14;27
org.joda.time$Instant#toInstant():144;2.926237788438775E-14;27
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):194;2.926237788438775E-14;27
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):204;2.926237788438775E-14;27
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):205;2.926237788438775E-14;27
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):206;2.926237788438775E-14;27
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):207;2.926237788438775E-14;27
org.joda.time.chrono$GJChronology#getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int):209;2.926237788438775E-14;27
org.joda.time.chrono$GJChronology#getGregorianCutover():397;2.926237788438775E-14;27
org.joda.time.chrono$GJChronology#getMinimumDaysInFirstWeek():406;2.926237788438775E-14;27
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long,long):255;2.1589835672287203E-14;28
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long,long):256;2.1589835672287203E-14;28
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long,long):257;2.1589835672287203E-14;28
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long,long):265;2.1589835672287203E-14;28
org.joda.time.base$BaseSingleFieldPeriod#getFieldType(int):216;2.1589835672287203E-14;28
org.joda.time.base$BaseSingleFieldPeriod#getFieldType(int):219;2.1589835672287203E-14;28
org.joda.time.field$DecoratedDurationField#getUnitMillis():101;6.401063521259803E-15;29
org.joda.time.tz$FixedDateTimeZone#getOffset(long):49;5.2358605624729004E-15;30
org.joda.time.field$FieldUtils#safeAdd(int,int):64;1.5745972824004866E-16;31
org.joda.time.field$FieldUtils#safeAdd(int,int):66;1.5745972824004866E-16;31
