name;suspiciousness_value;ranking
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):224;1.0;1
org.joda.time.field$UnsupportedDurationField#compareTo(org.joda.time.DurationField):227;0.2;2
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):223;0.2;2
org.joda.time$DurationFieldType$StandardDurationFieldType#getField(org.joda.time.Chronology):286;0.125;3
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):222;0.07692307692307693;4
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int):140;0.06666666666666667;5
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int,org.joda.time.Chronology):162;0.0625;6
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int):139;0.058823529411764705;7
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int,org.joda.time.Chronology):159;0.05555555555555555;8
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int,org.joda.time.Chronology):160;0.05555555555555555;8
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int,org.joda.time.Chronology):161;0.05555555555555555;8
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int,org.joda.time.Chronology):153;0.05;9
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int,org.joda.time.Chronology):154;0.05;9
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int,org.joda.time.Chronology):155;0.05;9
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType,int,org.joda.time.Chronology):156;0.05;9
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):434;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):435;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):438;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):439;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):440;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):458;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):459;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):460;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):461;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):462;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):463;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):466;0.037037037037037035;10
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):432;0.034482758620689655;11
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):433;0.034482758620689655;11
org.joda.time$Partial#with(org.joda.time.DateTimeFieldType,int):429;0.03333333333333333;12
org.joda.time$DateTimeFieldType$StandardDateTimeFieldType#getRangeDurationType():457;0.019230769230769232;13
org.joda.time.base$AbstractPartial#indexOf(org.joda.time.DateTimeFieldType):175;0.0136986301369863;14
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):217;0.007194244604316547;15
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):218;0.007194244604316547;15
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):221;0.007194244604316547;15
org.joda.time$Partial#getFieldType(int):346;0.006944444444444444;16
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):212;0.006622516556291391;17
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):213;0.006622516556291391;17
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):214;0.006622516556291391;17
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):215;0.006622516556291391;17
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):216;0.006622516556291391;17
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):245;0.006622516556291391;17
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):207;0.006578947368421052;18
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):208;0.006578947368421052;18
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):202;0.006535947712418301;19
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):199;0.006493506493506494;20
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):196;0.0064516129032258064;21
org.joda.time$Partial#getField(int,org.joda.time.Chronology):335;0.0064516129032258064;21
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):190;0.00641025641025641;22
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):191;0.00641025641025641;22
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):192;0.00641025641025641;22
org.joda.time$Partial#Partial(org.joda.time.DateTimeFieldType[],int[],org.joda.time.Chronology):193;0.00641025641025641;22
org.joda.time$Partial#getChronology():323;0.006289308176100629;23
org.joda.time$Partial#size():311;0.00625;24
org.joda.time.base$AbstractPartial#indexOf(org.joda.time.DateTimeFieldType):170;0.004784688995215311;25
org.joda.time.base$AbstractPartial#indexOf(org.joda.time.DateTimeFieldType):171;0.004784688995215311;25
org.joda.time$DurationFieldType$StandardDurationFieldType#getField(org.joda.time.Chronology):292;0.0045871559633027525;26
org.joda.time$DateTimeFieldType#getName():378;0.003424657534246575;27
org.joda.time.tz$DateTimeZoneBuilder$PrecalculatedZone#getOffset(long):1544;0.002012072434607646;28
org.joda.time.tz$DateTimeZoneBuilder$PrecalculatedZone#nextTransition(long):1580;0.002;29
org.joda.time.chrono$BuddhistChronology#getInstanceUTC():86;0.0017825311942959;30
org.joda.time.field$BaseDateTimeField#getMaximumValue(org.joda.time.ReadablePartial,int[]):818;0.0016666666666666668;31
org.joda.time.field$BaseDateTimeField#getMaximumValue(org.joda.time.ReadablePartial):804;0.0016638935108153079;32
org.joda.time.chrono$BaseChronology#validate(org.joda.time.ReadablePartial,int[]):213;0.001658374792703151;33
org.joda.time.chrono$BaseChronology#validate(org.joda.time.ReadablePartial,int[]):199;0.0016556291390728477;34
