name;suspiciousness_value;ranking
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale):2519;4.5715820018443765E-11;1
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale):2520;4.5715820018443765E-11;1
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#estimateParsedLength():2537;4.5715820018443765E-11;1
org.joda.time.format$DateTimeParserBucket#setZone(org.joda.time.DateTimeZone):159;1.2419731774040225E-11;2
org.joda.time.format$DateTimeParserBucket#setZone(org.joda.time.DateTimeZone):160;1.2419731774040225E-11;2
org.joda.time.format$DateTimeParserBucket#setZone(org.joda.time.DateTimeZone):161;1.2419731774040225E-11;2
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#parseInto(org.joda.time.format.DateTimeParserBucket,java.lang.String,int):2541;1.2419731774040225E-11;2
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#parseInto(org.joda.time.format.DateTimeParserBucket,java.lang.String,int):2542;1.2419731774040225E-11;2
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#parseInto(org.joda.time.format.DateTimeParserBucket,java.lang.String,int):2543;1.2419731774040225E-11;2
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#parseInto(org.joda.time.format.DateTimeParserBucket,java.lang.String,int):2544;1.2419731774040225E-11;2
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#parseInto(org.joda.time.format.DateTimeParserBucket,java.lang.String,int):2545;1.2419731774040225E-11;2
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#parseInto(org.joda.time.format.DateTimeParserBucket,java.lang.String,int):2547;1.2419731774040225E-11;2
org.joda.time.format$DateTimeFormatterBuilder#appendTimeZoneId():1030;3.874204889999992E-12;3
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#DateTimeFormatterBuilder$TimeZoneId(java.lang.String,int):2498;3.874204889999992E-12;3
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneId#estimatePrintedLength():2513;3.874204889999992E-12;3
org.joda.time.format$DateTimeFormatterBuilder#appendPattern(java.lang.String):1094;1.3513057093104018E-12;4
org.joda.time.format$DateTimeFormatterBuilder#appendPattern(java.lang.String):1095;1.3513057093104018E-12;4
org.joda.time.format$DateTimeFormat#appendPatternTo(org.joda.time.format.DateTimeFormatterBuilder,java.lang.String):377;1.3513057093104018E-12;4
org.joda.time.format$DateTimeFormat#appendPatternTo(org.joda.time.format.DateTimeFormatterBuilder,java.lang.String):378;1.3513057093104018E-12;4
org.joda.time$DateTimeZone#getAvailableIDs():374;5.168114461554615E-13;5
org.joda.time$DateTime#DateTime(int,int,int,int,int,int,org.joda.time.DateTimeZone):407;2.1353931710042417E-13;6
org.joda.time$DateTime#DateTime(int,int,int,int,int,int,org.joda.time.DateTimeZone):409;2.1353931710042417E-13;6
org.joda.time.format$DateTimeFormatter#parseDateTime(java.lang.String):866;4.400591171133935E-14;7
org.joda.time.format$DateTimeFormat#parsePatternTo(org.joda.time.format.DateTimeFormatterBuilder,java.lang.String):508;1.1929096593037468E-19;8
org.joda.time.format$DateTimeFormat#parsePatternTo(org.joda.time.format.DateTimeFormatterBuilder,java.lang.String):509;1.1929096593037468E-19;8
org.joda.time.format$FormatUtils#createErrorMessage(java.lang.String,int):373;1.1807075845856467E-21;9
