name;suspiciousness_value;ranking
org.joda.time$DateTimeZone#getDefault():146;1.0;1
org.joda.time$DateTimeZone#getDefault():150;1.0;1
org.joda.time$DateTimeZone#forID(java.lang.String):215;1.0;1
org.joda.time$DateTimeZone#forID(java.lang.String):224;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):330;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):333;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):334;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):339;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):340;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):341;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):344;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):345;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):347;1.0;1
org.joda.time$DateTimeZone#forTimeZone(java.util.TimeZone):348;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):583;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):584;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):586;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):587;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):588;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):589;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):590;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):591;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):592;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):593;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):594;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):595;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):596;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):597;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):598;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):599;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):600;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):601;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):602;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):603;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):604;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):605;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):606;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):607;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):608;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):609;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):610;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):611;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):612;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):613;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):614;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):615;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):616;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):617;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):618;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):619;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):620;1.0;1
org.joda.time$DateTimeZone#getConvertedId(java.lang.String):622;1.0;1
org.joda.time.tz$ZoneInfoProvider#getZone(java.lang.String):141;1.0;1
org.joda.time.chrono$BasicMonthOfYearDateTimeField#getMinimumValue():340;1.0;1
org.joda.time.chrono$BasicMonthOfYearDateTimeField#getMaximumValue():345;1.0;1
org.joda.time$PeriodType#setIndexedField(org.joda.time.ReadablePeriod,int,int[],int):690;1.0;1
org.joda.time$Period#Period(long,org.joda.time.Chronology):423;2.5089018975452307E-6;2
org.joda.time$Period#Period(long,org.joda.time.Chronology):424;2.5089018975452307E-6;2
org.joda.time$Period#withMonths(int):910;2.5089018975452307E-6;2
org.joda.time$Period#withMonths(int):911;2.5089018975452307E-6;2
org.joda.time$Period#withMonths(int):912;2.5089018975452307E-6;2
org.joda.time$Period#plusHours(int):1125;2.5089018975452307E-6;2
org.joda.time$Period#plusHours(int):1126;2.5089018975452307E-6;2
org.joda.time$Period#plusHours(int):1127;2.5089018975452307E-6;2
org.joda.time$PeriodType#withMonthsRemoved():734;1.0058283805847168E-7;3
org.joda.time$Period#plusHours(int):1122;1.0058283805847168E-7;3
org.joda.time$Period#plusSeconds(int):1161;1.0058283805847168E-7;3
org.joda.time$Period#plusSeconds(int):1162;1.0058283805847168E-7;3
org.joda.time$Period#plusSeconds(int):1163;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1617;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1618;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1619;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1620;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1621;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1622;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1623;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1624;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1625;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1626;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1627;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1628;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1629;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1630;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1631;1.0058283805847168E-7;3
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1637;1.0058283805847168E-7;3
org.joda.time$Period#Period(long,org.joda.time.PeriodType,org.joda.time.Chronology):444;8.38860799999998E-9;4
org.joda.time$Period#Period(long,org.joda.time.PeriodType,org.joda.time.Chronology):445;8.38860799999998E-9;4
org.joda.time$Period#withYears(int):895;8.38860799999998E-9;4
org.joda.time$Period#withYears(int):896;8.38860799999998E-9;4
org.joda.time$Period#plusSeconds(int):1158;8.38860799999998E-9;4
org.joda.time$Period#years(int):110;1.1077200472554553E-9;5
org.joda.time$PeriodType#withFieldRemoved(int,java.lang.String):801;1.2419731774040225E-11;6
org.joda.time$PeriodType#setIndexedField(org.joda.time.ReadablePeriod,int,int[],int):688;2.1353931710042417E-13;7
org.joda.time$PeriodType#setIndexedField(org.joda.time.ReadablePeriod,int,int[],int):689;2.1353931710042417E-13;7
org.joda.time$PeriodType#setIndexedField(org.joda.time.ReadablePeriod,int,int[],int):692;2.1353931710042417E-13;7
org.joda.time$PeriodType#setIndexedField(org.joda.time.ReadablePeriod,int,int[],int):693;2.1353931710042417E-13;7
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):710;1.1061113412434884E-14;8
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):711;1.1061113412434884E-14;8
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):714;1.1061113412434884E-14;8
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):715;1.1061113412434884E-14;8
org.joda.time$PeriodType#withFieldRemoved(int,java.lang.String):799;1.1061113412434884E-14;8
org.joda.time$PeriodType#withFieldRemoved(int,java.lang.String):800;1.1061113412434884E-14;8
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long):279;5.888457169999593E-15;9
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long):280;5.888457169999593E-15;9
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long):281;5.888457169999593E-15;9
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long):282;5.888457169999593E-15;9
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long):283;5.888457169999593E-15;9
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long):284;5.888457169999593E-15;9
org.joda.time.chrono$BaseChronology#get(org.joda.time.ReadablePeriod,long):285;5.888457169999593E-15;9
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):707;3.2437745659291845E-15;10
org.joda.time$DateTimeUtils#getPeriodType(org.joda.time.PeriodType):321;1.075973998585662E-15;11
org.joda.time.field$PreciseDurationField#add(long,int):104;6.442870512941122E-16;12
org.joda.time.field$PreciseDurationField#add(long,int):105;6.442870512941122E-16;12
org.joda.time$DurationFieldType$StandardDurationFieldType#getField(org.joda.time.Chronology):282;6.442870512941122E-16;12
org.joda.time$DurationFieldType$StandardDurationFieldType#getField(org.joda.time.Chronology):284;6.442870512941122E-16;12
org.joda.time$DurationFieldType$StandardDurationFieldType#getField(org.joda.time.Chronology):306;6.442870512941122E-16;12
org.joda.time.field$BaseDurationField#getDifference(long,long):141;3.9471205410301253E-16;13
org.joda.time.field$PreciseDurationField#getDifferenceAsLong(long,long):114;3.9471205410301253E-16;13
org.joda.time.field$PreciseDurationField#getDifferenceAsLong(long,long):115;3.9471205410301253E-16;13
org.joda.time.field$FieldUtils#safeAdd(int,int):64;3.9471205410301253E-16;13
