name;suspiciousness_value;ranking
org.joda.time$Period#plusHours(int):1125;2.5089018975452307E-6;1
org.joda.time$Period#plusHours(int):1126;2.5089018975452307E-6;1
org.joda.time$Period#plusHours(int):1127;2.5089018975452307E-6;1
org.joda.time$Period#plusSeconds(int):1161;2.5089018975452307E-6;1
org.joda.time$Period#plusSeconds(int):1162;2.5089018975452307E-6;1
org.joda.time$Period#plusSeconds(int):1163;2.5089018975452307E-6;1
org.joda.time$PeriodType#withFieldRemoved(int,java.lang.String):801;2.5089018975452307E-6;1
org.joda.time$Period#plusHours(int):1122;1.0058283805847168E-7;2
org.joda.time$Period#plusSeconds(int):1158;1.0058283805847168E-7;2
org.joda.time$PeriodType#setIndexedField(org.joda.time.ReadablePeriod,int,int[],int):690;1.0058283805847168E-7;2
org.joda.time$Period#Period(long,org.joda.time.Chronology):423;8.38860799999998E-9;3
org.joda.time$Period#Period(long,org.joda.time.Chronology):424;8.38860799999998E-9;3
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):707;8.38860799999998E-9;3
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):710;8.38860799999998E-9;3
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):711;8.38860799999998E-9;3
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):714;8.38860799999998E-9;3
org.joda.time$PeriodType#addIndexedField(org.joda.time.ReadablePeriod,int,int[],int):715;8.38860799999998E-9;3
org.joda.time$PeriodType#withMonthsRemoved():734;1.1077200472554553E-9;4
org.joda.time$Period#withMonths(int):912;1.2419731774040225E-11;5
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1631;1.2419731774040225E-11;5
org.joda.time$Period#withYears(int):895;3.874204889999992E-12;6
org.joda.time$Period#withYears(int):896;3.874204889999992E-12;6
org.joda.time$Period#withMonths(int):910;3.874204889999992E-12;6
org.joda.time$Period#withMonths(int):911;3.874204889999992E-12;6
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1629;3.874204889999992E-12;6
org.joda.time$Period#normalizedStandard(org.joda.time.PeriodType):1630;3.874204889999992E-12;6
